Sr no,Name of library,x coord,y coord,Addresss
1,Babuji Deshmukh Wachanalaya,20.73706853,76.99755488,Tilak Road Tajna Peth Akola
2,Shri Navyug Wachanalaya,21.09734507,77.06139804,"Tahsil road, akot"
3,Dr Iqbal library,21.09844166,77.0573025,"Shoukat ali chowk, akot"
4,Akot Nagarpalika Sarvajanik Wachanalaya,21.09829982,77.05442441,akot
5,Aadarsha Sarvajanik Wachanalaya,21.37755511,77.09744496,panaj
6,Shri Chhatrapati Shivaji Maharaj Sarvajanik Wachanalaya Akot.,20.7285467,76.20179281,"Lakkadganj, akot"
7,Nalanda Sarvajanik Wachanalaya,19.06361425,72.84866609,Mahagaon; Po.Ruikhed
8,Prerana Sarwajanik Wachanalaya,,,Punda
9,Maulana Abul Kalam Azad Sarvajanik Wachanalaya Akot,17.28304907,73.57980549,"Ward No7,Akot"
10,Shri Krushna Sarvajanik Wachanalaya,20.13713513,75.35894264,Mankiwastapur
11,Shri Sant Dnyaneshwar Sarvajanik Wachanalaya,20.50817156,78.65992122,Akot
12,Siddhartha Sarwajanik Wachanalaya,21.09047321,78.2082051,Kavtha Bu.po.- Aasegaon Bazar
13,Mahatma Jyotiba Phule Sarvajanik Wachanalaya,20.98075464,76.58084858,Warur (Jaulka)
14,Mahatma Phule Sarvajanik Wachanalaya,20.07983781,73.84334661,"SomvarVes,Phule Chowk,Akot"
15,Shri Vijay Sarvajanik Wachanalaya,19.22164727,72.92431215,umra
16,Jai Bajrang Sarvajanik Wachanalaya,19.13863543,72.86388734,Patsul Rly. Po.-Devri
17,Adarsha Wachanalaya,19.26313747,72.83642152,Keliveli
18,Kai. Shrimati Balanbai Mhaisane Mofat Wachanalaya,19.11967541,72.84186836,Kai. Shrimati Balanbai Mhaisane Mofat Wachanalaya
19,Janajagruti Sarvajanik Wachanalaya,,,Shivpur Po.-Bordi
20,Bapuji Sarvajanik Wachanalaya,21.46644571,74.2766418,Kutasa
21,Bhujangrao Bapu Sarvajanik Wachanalaya,,,Palsod
22,Vivekanand Sarvajanik Wachanalaya,20.30664779,74.26758086,Balegaon
23,Shri Gajanan Sarvajanik Wachanalaya,20.07564684,73.81522755,Varula
24,Shri Bhaskar Maharaj Sarvajanik Wachanalaya,,,Akoli Jahangir
25,Shriram Sarvajanik Wachanalaya,20.12106999,73.78109895,Asegaonbazar
26,Shri Sant Gadge Maharaj Sarvajanik Wachanalaya,19.02760179,72.85439852,Sawara
27,Satpuda Sarvajanik Wachanalaya,20.09463803,73.7175683,Popatkhed
28,Sonaji Maharaj Sarvajanik Wachanalaya,21.21613764,74.81371812,Jaulka waru
29,Sant Gadgebaba Sarvajanik Wachanalaya,21.00881495,79.86756123,Akolkhed
30,Sant Ruplal Maharaj Sarvajanik Wachanalaya,21.26244007,77.73134885,Amboda
31,Swa. Nagorao Jayaramji Fokmare Sarvajanik Wachanalaya.,20.90879075,77.27266964,Deori
32,Shri Dnyaneshwar Maharaj Sarvajanik Wachanalaya,21.15513087,77.18429573,Dhamangaon
33,Shri.Sant Gajanan Maharaj Gramin Wachanalaya,21.07442226,76.98379524,Parala
34,Smt.Aashatai Ingale Sarvajanik Wachanalaya,20.9077423,77.00439461,Kinkhed Purna
35,Veershaiva Sarvajanik Wachanalaya,19.76298284,76.19623248,Mundgaon
36,Vivekanand Granthalaya,20.9209594,75.24385695,Nandkhed
37,Aai Jagdamba Sarvajanik Wachanalaya,19.67106533,74.30455415,Bambarda
38,Prabuddha Sarvajanik Wachanalaya,,,Rondala
39,Vishwabhushan Dr.Babasaheb Ambedkar Sarvajanik Wachanalaya,19.37027599,73.16298967,Jaulkhed
40,Bharatratna Dr. Babasaheb Ambedkar Sarvajanik Wachanalaya,19.15478367,72.99228594,Pilakwadi
41,Adarsh sarvajanik vachnslaya mohadi,19.23116462,72.84828676,"Adarsh sarvajnik wachanalaya, taluka, Peru Baug, Jay Prakash Nagar, Goregaon, Mohadi, Mumbai, Maharashtra 441807"
42,Dadar Sarvajanik vachanalay,19.14831518,72.85210084,"Chabildas Rd, Dadar West, Dadar, Mumbai, Maharashtra 400028"
43,Boudha Pragati Sangh Chowk Vrutpatra Vachnalay,19.02216015,72.89107559,"August Kranti Marg, Grant Road, Papnas Wadi Rd, Grant Road, Papanas Wadi, Tardeo, Mumbai, Maharashtra 400036"
44,Amravati City Library,20.93358336,77.75121101," Amrawati Tahsil, Amravati, Maharashtra 444601"
45,Government Library,20.94131777,77.76353491,"1, Morshi Rd Walcut Compound, Morshi Rd, Walcut Compound, Paranjpe Colony, Amravati, Maharashtra 444601"
46,"SHASKIYA VIBHAGIY GRANTHALAY,AMRAVATI",20.93981569,77.76455941,"near SANT DYANESHVAR MAHARJ SANSKRUTIK BHAVAN, Paranjpe Colony, Amravati, Maharashtra 444603"
47,Pushpak Colony library,20.89690516,77.74328078,"Pushpak Colony, Kanwar Nagar, Guruchhaya Colony, Sai Nagar, Amravati, Maharashtra 444607"
48,Mohammadiya Sarvajanik Library,20.94813716,77.72770205,"Lalkhedi, Amravati, Maharashtra 444602"
49,City Library Reading room,20.9253537,77.75748128,"Rajapeth, Kanwar Nagar, Guruchhaya Colony, Vivekanand Colony, Amravati, Maharashtra 444605"
50,Mudholkar Peth Library,20.89772015,77.74103314,"Akoli Rd, Sai Vihar Colony, Guruchhaya Colony, Sai Nagar, Amravati, Maharashtra 444607"
51,Gajanan Reading Room Library,20.96562117,77.75900924,"Siddhivinayak Nagar, Amravati, Maharashtra 444604"
52,DAYA's Library,20.94931883,77.76732175,"Palash Line, behind Adivasi Hostel, Gadge Nagar, Amravati, Maharashtra 444604"
